#{"t_start": 1672758446.629091, "env_id": null}
r,l,t
-0.40999976,200,75.633441
-0.29499987,200,75.90677
0.96500003,21,75.934896
-0.41999975,200,76.323791
-0.2599999,200,76.630045
0.865,54,76.699734
-0.63999957,200,76.955713
0.875,83,77.060744
-0.22499992,200,77.373998
-0.32499984,200,78.888652
-0.3649998,200,79.154733
-0.4849997,200,79.476888
-0.53999966,200,79.737042
-0.33999982,200,80.030998
0.97,24,80.070193
-0.4799997,200,80.476013
0.7600001,85,80.59115
0.995,7,80.601397
0.8000001,131,80.794892
-0.17499997,200,81.093892
-0.55999964,200,81.374565
0.855,83,81.493286
-0.18499996,200,81.963955
1.0,1,81.967815
0.7800001,94,83.554245
-0.42499974,200,83.858866
-0.42999974,200,84.18115
0.9,62,84.302072
-0.2499999,200,84.667328
-0.30499986,200,84.98974
0.99,16,85.012758
-0.3749998,200,85.462787
1.0,2,85.466416
-0.39999977,200,85.744083
0.73000014,79,85.849215
-0.29999986,200,86.106965
0.86,77,86.237395
0.915,122,86.437562
0.98,12,86.455046
0.6650002,130,86.661615
-0.55999964,200,88.223727
-0.31499985,200,88.478892
1.0,4,88.484896
-0.42499974,200,88.760045
0.61000025,197,89.087275
1.0,1,89.089724
-0.30999985,200,89.357079
-0.6049996,200,89.811748
0.955,49,89.876483
0.93,19,89.902621
-0.55499965,200,90.160797
-0.6299996,200,90.446923
0.7900001,82,90.549839
-0.4699997,200,90.800119
-0.31499985,200,92.437518
1.0,3,92.441994
-0.31999984,200,92.921669
0.80500007,111,93.067641
0.995,10,93.081174
0.82000005,68,93.169631
0.995,4,93.175918
0.97,18,93.201072
0.98,19,93.22747
0.98,7,93.237315
-0.53499967,200,93.491266
-0.31999984,200,93.783985
0.985,22,93.823497
-0.5299997,200,94.254478
0.92,30,94.302541
-0.42499974,200,94.583253
-0.4749997,200,95.050604
-0.32499984,200,95.42352
0.94,20,95.463186
1.0,1,95.465998
-0.39499977,200,95.744823
0.985,24,95.775488
0.845,102,97.046652
-0.4699997,200,97.449097
-0.3749998,200,97.75388
0.995,3,97.758205
-0.3799998,200,98.009253
-0.30499986,200,98.264622
0.995,8,98.27545
0.98,7,98.284781
0.89,30,98.323984
-0.39499977,200,98.57744
-0.40499976,200,99.026448
-0.39499977,200,99.297935
0.975,8,99.308309
-0.3699998,200,99.567107
0.96500003,19,99.592502
-0.32999983,200,99.882093
-0.19499995,200,101.153325
0.985,14,101.285675
0.985,9,101.299968
0.6800002,138,101.479871
0.855,34,101.522957
0.885,71,101.615247
0.5650003,137,101.794936
1.0,1,101.796938
-0.28999987,200,102.118097
1.0,6,102.127072
1.0,3,102.131656
-0.5049997,200,102.403062
-0.43499973,200,102.704481
-0.7149995,200,103.080406
1.0,2,103.083674
0.95,42,103.140537
-0.41999975,200,103.390799
0.96,13,103.409207
0.995,5,103.416202
1.0,32,103.457168
-0.5149997,200,103.710498
0.92,67,103.795229
-0.40499976,200,104.053429
-0.34499982,200,105.441316
-0.6949995,200,105.695133
-0.2649999,200,105.955288
-0.20999993,200,106.210083
-0.55999964,200,106.461275
0.975,21,106.490065
0.96,26,106.524998
0.94,42,106.580637
-0.3749998,200,107.032644
-0.31999984,200,107.302694
-0.5299997,200,107.585223
0.935,47,107.656206
-0.43499973,200,108.033095
-0.3549998,200,109.406923
-0.48999968,200,109.783165
0.975,16,109.805133
-0.5199997,200,110.05707
-0.6349996,200,110.312633
-0.22999991,200,110.564755
-0.2699999,200,110.831495
-0.33999982,200,111.208124
-0.49999967,200,111.46012
-0.3549998,200,111.714872
-0.44999972,200,111.96916
0.975,17,111.991773
0.975,15,112.012628
-0.4799997,200,113.51158
0.83500004,96,113.764757
0.87,79,113.871747
-0.39499977,200,114.172242
-0.2649999,200,114.490957
0.92,24,114.532907
-0.6149996,200,114.842177
-0.4599997,200,115.15987
0.985,12,115.177845
-0.42499974,200,115.565187
-0.2649999,200,115.821683
-0.5849996,200,116.111428
-0.6099996,200,116.379543
-0.28499988,200,118.151601
0.995,3,118.156077
-0.34999982,200,118.639996
-0.53499967,200,118.899977
1.0,2,118.9031
0.995,3,118.907814
-0.6049996,200,119.173092
0.98,10,119.187347
-0.3699998,200,119.515183
-0.38999978,200,119.775481
-0.56499964,200,120.264386
-0.5099997,200,120.528496
0.62000024,161,120.731506
-0.55999964,200,121.010329
0.99,7,121.022698
-0.33999982,200,121.321435
0.895,35,121.366547
-0.30499986,200,122.76013
1.0,8,122.770869
-0.7249995,200,123.024088
-0.42999974,200,123.284087
-0.34499982,200,123.567583
-0.42499974,200,123.828494
0.985,9,123.841345
-0.64499956,200,124.223326
0.935,68,124.309272
0.895,34,124.352424
0.70500016,113,124.496464
-0.4649997,200,124.746242
1.0,2,124.74944
0.96500003,19,124.773871
0.8000001,85,124.880437
0.96,21,124.907122
0.925,76,125.005525
0.99,8,125.016266
-0.54499966,200,125.267308
0.42000037,184,126.632003
0.985,6,126.640067
0.995,3,126.644567
1.0,1,126.646474
0.6350002,118,126.794077
1.0,2,126.79728
-0.38999978,200,127.051586
0.9,41,127.103232
-0.8299994,200,127.352928
-0.2449999,200,127.607773
-0.44999972,200,128.021205
0.885,54,128.096794
-0.5899996,200,128.353213
-0.39499977,200,128.608612
-0.21499993,200,128.859132
-0.39999977,200,129.120635
-0.33499983,200,130.675856
-0.4749997,200,130.975222
-0.5099997,200,131.231997
-0.42499974,200,131.485695
0.945,24,131.516524
0.995,3,131.520992
-0.5249997,200,131.774522
-0.6049996,200,132.158805
-0.64499956,200,132.48849
1.0,6,132.497796
0.93,51,132.571882
-0.4749997,200,132.822353
-0.38999978,200,133.075636
-0.7399995,200,133.326699
0.975,8,133.337097
-0.5799996,200,134.76447
-0.28499988,200,135.073476
-0.4749997,200,135.36333
0.4900003,154,135.777219
0.73000014,87,135.930894
0.915,69,136.042916
-0.44999972,200,136.543098
-0.4649997,200,136.843321
-0.4799997,200,137.210834
-0.5149997,200,137.54597
0.885,31,137.607462
-0.54499966,200,137.893871
-0.4749997,200,139.418142
-0.5099997,200,139.673072
0.985,12,139.68876
0.95,34,139.732005
0.885,42,139.784468
-0.34999982,200,140.049273
-0.75499946,200,140.331344
0.82500005,79,140.431081
-0.42499974,200,140.716964
-0.43499973,200,141.149287
-0.38499978,200,141.432
0.97,16,141.456847
-0.2549999,200,141.95429
-0.17499997,200,142.264881
0.98,20,142.344641
0.995,3,142.352553
1.0,9,142.366799
0.995,2,142.371493
0.985,6,142.382988
0.855,58,142.487635
0.88,33,142.556156
-0.6149996,200,144.171796
-0.7149995,200,144.441956
-0.4749997,200,144.760347
0.955,27,144.803887
-0.5999996,200,145.083105
-0.44999972,200,145.362164
-0.5149997,200,145.733161
-0.38999978,200,146.146945
-0.15499999,200,146.46274
-0.5899996,200,146.76755
-0.44999972,200,147.061959
-0.7399995,200,148.486091
-0.20999993,200,148.737331
1.0,4,148.7432
-0.38499978,200,148.995289
-0.4749997,200,149.250639
-0.56499964,200,149.500752
-0.39999977,200,149.874212
-0.64999956,200,150.126592
-0.44999972,200,150.383487
1.0,2,150.386681
0.96500003,8,150.397377
0.7850001,189,150.636436
-0.18499996,200,150.887273
-0.5249997,200,152.315605
1.0,7,152.32714
0.7950001,115,152.476017
-0.5149997,200,152.725096
-0.65499955,200,152.975709
-0.64999956,200,153.225889
-0.33499983,200,153.481189
-0.33499983,200,153.855789
1.0,37,153.902575
-0.3799998,200,154.160686
0.6600002,133,154.326359
-0.53999966,200,154.581188
-0.38999978,200,154.829444
-0.19499995,200,156.248781
-0.6199996,200,156.501451
-0.49999967,200,156.750619
0.945,27,156.785513
-0.55499965,200,157.037415
-0.2599999,200,157.286192
-0.74499947,200,157.657542
-0.6849995,200,157.908311
-0.6949995,200,158.159877
-0.2549999,200,158.419831
-0.2649999,200,158.674165
-0.27999988,200,160.078417
0.46500033,176,160.302888
-0.6099996,200,160.558166
-0.28999987,200,160.810531
1.0,2,160.813794
-0.39999977,200,161.06715
-0.55999964,200,161.31772
-0.2749999,200,161.692686
-0.6999995,200,161.941728
0.885,39,161.992913
0.7950001,187,162.226625
-0.6899995,200,162.478425
-0.5099997,200,163.75413
-0.2549999,200,164.130182
-0.34499982,200,164.38118
-0.6099996,200,164.637893
-0.56499964,200,164.917702
-0.6299996,200,165.227705
